Site Name,Number_Counted,Area_Surveyed
Bangor E 1,0,220
Bangor G E 1,12,150
Bangor G W 1,210,210
Bangor G W 2,27,180
Bangor G W 3,2,140
Bangor W 1,0,240
Bangor W 2,121,200
Bangor W 3,285,180
Bangor W 4,492,280
Bangor W 5,562,500
Bend E 0,112,1290
Bend E 1,0,260
Bend E 2,0,110
Bend E 3,0,220
Bend E 4,0,120
Bend W 1,1,140
Bend W 2,0,160
Bend W 3,0,140
Bend W 4,1,110
Bend W 5,0,100
Bend W 6,0,90
Bend W 7,0,80
Confl. E 1,0,410
Confl. E 2,34,350
Confl. E 3,49,350
Confl. E 4,237,540
Confl. E 5,123,230
Confl. G E 2,54,290
Confl. G E 4,375,1540
Confl. G E 5,7,290
Confl. G N 1,87,130
Confl. G N 2,35,90
Confl. G W 1,46,200
Confl. G W 2,0,90
Confl. N 1,28,190
Confl. N 2,51,240
Confl. W 1,60,110
Confl. W 2,0,180
Confl. W 3,6,100
Confl. W 4,0,210
Confl. W 5,1,420
Dabob E 1,16,320
Dabob E 2,0,90
Dabob E 3,0,80
Dabob E 4,13,180
Dabob E 5,0,90
Dabob E 6,1,160
Dabob G W 1,32,430
Dabob G W 2,44,430
Dabob G W 3,45,190
Dabob G W 4,7,70
Dabob G W 5,20,170
Dabob W 2,40,320
Dabob W 3,26,360
Dabob W 4,52,410
Dabob W 5,21,150
North W 1,117,310